Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,1.6689300537109375e-06,0,0.95
0.0,0.0,0.0,6.198883056640625e-06,0,0.8999999999999999
0.0,0.0,0.0,7.152557373046875e-06,0,0.8499999999999999
0.0,0.0,0.0,8.106231689453125e-06,0,0.7999999999999998
0.0,0.0,0.0,8.821487426757812e-06,0,0.7499999999999998
0.1071049840933192,0.8706896551724138,0.1907459867799811,7.796287536621094e-05,116,0.6999999999999997
0.45705196182396607,0.8450980392156863,0.5932553337921541,0.00040721893310546875,510,0.6499999999999997
0.7518557794273595,0.8038548752834467,0.776986301369863,0.001046895980834961,882,0.5999999999999996
0.7762460233297985,0.8,0.7879440258342303,0.00136566162109375,915,0.5499999999999996
0.7762460233297985,0.8,0.7879440258342303,0.0014336109161376953,915,0.4999999999999996
