Recall,Precision,F1,Matching Time,#Results,Delta
0.0125,0.8333333333333334,0.024630541871921187,1.3589859008789062e-05,6,0.95
0.05,0.7407407407407407,0.09367681498829039,4.601478576660156e-05,27,0.8999999999999999
0.0575,0.71875,0.10648148148148148,5.8650970458984375e-05,32,0.8499999999999999
0.06,0.7272727272727273,0.11085450346420321,6.508827209472656e-05,33,0.7999999999999998
0.0625,0.7352941176470589,0.1152073732718894,7.128715515136719e-05,34,0.7499999999999998
0.07,0.7368421052631579,0.12785388127853883,8.130073547363281e-05,38,0.6999999999999997
0.085,0.7391304347826086,0.1524663677130045,9.965896606445312e-05,46,0.6499999999999997
0.0975,0.75,0.17256637168141592,0.00011396408081054688,52,0.5999999999999996
0.1025,0.7454545454545455,0.18021978021978022,0.000125885009765625,55,0.5499999999999996
0.6475,0.8274760383386581,0.7265077138849929,0.00047850608825683594,313,0.4999999999999996
