Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,4.76837158203125e-06,0,0.95
0.0,0.0,0.0,7.62939453125e-06,0,0.8999999999999999
0.0,0.0,0.0,8.58306884765625e-06,0,0.8499999999999999
0.0025,1.0,0.004987531172069826,1.2636184692382812e-05,1,0.7999999999999998
0.0125,1.0,0.02469135802469136,2.2411346435546875e-05,5,0.7499999999999998
0.0275,0.9166666666666666,0.05339805825242719,4.291534423828125e-05,12,0.6999999999999997
0.0425,0.8095238095238095,0.0807600950118765,6.0558319091796875e-05,21,0.6499999999999997
0.1,0.851063829787234,0.17897091722595082,0.00010514259338378906,47,0.5999999999999996
0.175,0.8974358974358975,0.2928870292887029,0.00016236305236816406,78,0.5499999999999996
0.7125,0.8990536277602523,0.7949790794979078,0.0005717277526855469,317,0.4999999999999996
