Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,4.0531158447265625e-06,0,0.95
0.0,0.0,0.0,6.9141387939453125e-06,0,0.8999999999999999
0.0,0.0,0.0,7.867813110351562e-06,0,0.8499999999999999
0.0,0.0,0.0,1.0967254638671875e-05,1,0.7999999999999998
0.0,0.0,0.0,1.3589859008789062e-05,2,0.7499999999999998
0.02,0.6666666666666666,0.038834951456310676,2.7894973754882812e-05,12,0.6999999999999997
0.0425,0.7727272727272727,0.08056872037914693,4.696846008300781e-05,22,0.6499999999999997
0.0875,0.875,0.15909090909090906,7.343292236328125e-05,40,0.5999999999999996
0.185,0.8409090909090909,0.30327868852459017,0.00015401840209960938,88,0.5499999999999996
0.655,0.8343949044585988,0.7338935574229692,0.0005121231079101562,314,0.4999999999999996
