Recall,Precision,F1,Matching Time,#Results,Delta
0.0025,1.0,0.004987531172069826,6.198883056640625e-06,1,0.95
0.0025,1.0,0.004987531172069826,1.0251998901367188e-05,1,0.8999999999999999
0.0025,1.0,0.004987531172069826,1.1444091796875e-05,1,0.8499999999999999
0.005,1.0,0.009950248756218907,1.3828277587890625e-05,2,0.7999999999999998
0.0075,0.75,0.014851485148514853,1.7642974853515625e-05,4,0.7499999999999998
0.025,0.9090909090909091,0.04866180048661801,2.7894973754882812e-05,11,0.6999999999999997
0.0475,0.8636363636363636,0.09004739336492891,4.4345855712890625e-05,22,0.6499999999999997
0.085,0.8947368421052632,0.15525114155251143,6.866455078125e-05,38,0.5999999999999996
0.18,0.935064935064935,0.3018867924528302,0.0001285076141357422,77,0.5499999999999996
0.675,0.8766233766233766,0.7627118644067796,0.00045752525329589844,308,0.4999999999999996
