Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,4.76837158203125e-06,0,0.95
0.0,0.0,0.0,8.106231689453125e-06,0,0.8999999999999999
0.0,0.0,0.0,9.298324584960938e-06,0,0.8499999999999999
0.0,0.0,0.0,1.0013580322265625e-05,0,0.7999999999999998
0.015,1.0,0.02955665024630542,2.0265579223632812e-05,6,0.7499999999999998
0.0325,1.0,0.06295399515738499,3.266334533691406e-05,13,0.6999999999999997
0.055,0.9166666666666666,0.10377358490566037,5.0067901611328125e-05,24,0.6499999999999997
0.115,0.8846153846153846,0.20353982300884957,8.916854858398438e-05,52,0.5999999999999996
0.1775,0.9102564102564102,0.2970711297071129,0.000133514404296875,78,0.5499999999999996
0.705,0.8924050632911392,0.7877094972067039,0.0004699230194091797,316,0.4999999999999996
