Recall,Precision,F1,Matching Time,#Results,Delta
0.0225,0.75,0.043689320388349516,2.1457672119140625e-05,12,0.95
0.045,0.8181818181818182,0.08530805687203791,4.506111145019531e-05,22,0.8999999999999999
0.0525,0.8076923076923077,0.09859154929577464,5.626678466796875e-05,26,0.8499999999999999
0.06,0.8275862068965517,0.11188811188811189,6.604194641113281e-05,29,0.7999999999999998
0.065,0.8387096774193549,0.12064965197215777,7.319450378417969e-05,31,0.7499999999999998
0.075,0.8333333333333334,0.13761467889908258,8.630752563476562e-05,36,0.6999999999999997
0.0875,0.8536585365853658,0.15873015873015872,0.00010156631469726562,41,0.6499999999999997
0.0925,0.8604651162790697,0.16704288939051917,0.00011038780212402344,43,0.5999999999999996
0.0925,0.8604651162790697,0.16704288939051917,0.0001163482666015625,43,0.5499999999999996
0.67,0.9054054054054054,0.7701149425287356,0.0004513263702392578,296,0.4999999999999996
