Recall,Precision,F1,Matching Time,#Results,Delta
0.0025,0.5,0.0049751243781094535,8.344650268554688e-06,2,0.95
0.0025,0.5,0.0049751243781094535,1.239776611328125e-05,2,0.8999999999999999
0.0025,0.5,0.0049751243781094535,1.4066696166992188e-05,2,0.8499999999999999
0.005,0.6666666666666666,0.009925558312655087,1.6450881958007812e-05,3,0.7999999999999998
0.005,0.6666666666666666,0.009925558312655087,1.811981201171875e-05,3,0.7499999999999998
0.0075,0.75,0.014851485148514853,2.193450927734375e-05,4,0.6999999999999997
0.015,0.8571428571428571,0.02948402948402948,2.7894973754882812e-05,7,0.6499999999999997
0.045,0.9,0.08571428571428572,4.673004150390625e-05,20,0.5999999999999996
0.11,0.9565217391304348,0.19730941704035873,8.225440979003906e-05,46,0.5499999999999996
0.535,0.8842975206611571,0.6666666666666667,0.00035309791564941406,242,0.4999999999999996
