Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,3.814697265625e-06,0,0.95
0.0,0.0,0.0,1.1920928955078125e-05,0,0.8999999999999999
0.0,0.0,0.0,1.33514404296875e-05,0,0.8499999999999999
0.0,0.0,0.0,1.4066696166992188e-05,0,0.7999999999999998
0.015,0.8571428571428571,0.02948402948402948,2.5272369384765625e-05,7,0.7499999999999998
0.03,0.9230769230769231,0.058111380145278446,3.647804260253906e-05,13,0.6999999999999997
0.05,0.9090909090909091,0.09478672985781991,5.173683166503906e-05,22,0.6499999999999997
0.1125,0.9183673469387755,0.200445434298441,9.012222290039062e-05,49,0.5999999999999996
0.1825,0.9240506329113924,0.30480167014613774,0.0001366138458251953,79,0.5499999999999996
0.7025,0.8808777429467085,0.7816411682892906,0.0004904270172119141,319,0.4999999999999996
