Recall,Precision,F1,Matching Time,#Results,Delta
0.0025,1.0,0.004987531172069826,6.9141387939453125e-06,1,0.95
0.0025,1.0,0.004987531172069826,1.0967254638671875e-05,1,0.8999999999999999
0.0025,1.0,0.004987531172069826,1.2159347534179688e-05,1,0.8499999999999999
0.0025,0.5,0.0049751243781094535,1.5020370483398438e-05,2,0.7999999999999998
0.0025,0.3333333333333333,0.004962779156327543,1.7881393432617188e-05,3,0.7499999999999998
0.01,0.6666666666666666,0.019704433497536946,2.3365020751953125e-05,6,0.6999999999999997
0.0325,0.7647058823529411,0.062350119904076746,3.933906555175781e-05,17,0.6499999999999997
0.075,0.8333333333333334,0.13761467889908258,6.961822509765625e-05,36,0.5999999999999996
0.1675,0.881578947368421,0.28151260504201686,0.0001342296600341797,76,0.5499999999999996
0.6525,0.8787878787878788,0.7489239598278336,0.00046133995056152344,297,0.4999999999999996
