Recall,Precision,F1,Matching Time,#Results,Delta
0.0,0.0,0.0,3.5762786865234375e-06,0,0.95
0.0,0.0,0.0,6.198883056640625e-06,0,0.8999999999999999
0.0,0.0,0.0,7.152557373046875e-06,0,0.8499999999999999
0.0,0.0,0.0,8.106231689453125e-06,0,0.7999999999999998
0.0033333333333333335,1.0,0.006644518272425249,1.1444091796875e-05,1,0.7499999999999998
0.016666666666666666,0.7142857142857143,0.032573289902280124,2.3365020751953125e-05,7,0.6999999999999997
0.056666666666666664,0.85,0.10625,4.1961669921875e-05,20,0.6499999999999997
0.11333333333333333,0.8717948717948718,0.20058997050147492,7.295608520507812e-05,39,0.5999999999999996
0.12,0.8780487804878049,0.21114369501466276,8.344650268554688e-05,41,0.5499999999999996
0.6166666666666667,0.8295964125560538,0.7074569789674952,0.0003669261932373047,223,0.4999999999999996
